problem_id,implementation,measurement,trial,N,h,runtime_s,peak_rss_mib
scalar_linear_d1_alpha0.8_t5,Julia,solve,1,1280,0.00390625,0.001148084,537.453125
scalar_linear_d1_alpha0.8_t5,Julia,solve,2,1280,0.00390625,0.001441625,547.21875
scalar_linear_d1_alpha0.8_t5,Julia,solve,3,1280,0.00390625,0.001225125,544.265625
scalar_linear_d1_alpha0.8_t5,Julia,solve,4,1280,0.00390625,0.001289541,546.1875
scalar_linear_d1_alpha0.8_t5,Julia,solve,5,1280,0.00390625,0.001217166,544.78125
scalar_linear_d1_alpha0.8_t5,Julia,solve,1,2560,0.001953125,0.002533459,538.8125
scalar_linear_d1_alpha0.8_t5,Julia,solve,2,2560,0.001953125,0.002400875,545.5625
scalar_linear_d1_alpha0.8_t5,Julia,solve,3,2560,0.001953125,0.002499209,547.953125
scalar_linear_d1_alpha0.8_t5,Julia,solve,4,2560,0.001953125,0.002385458,547.15625
scalar_linear_d1_alpha0.8_t5,Julia,solve,5,2560,0.001953125,0.002510125,546.078125
scalar_linear_d1_alpha0.8_t5,Julia,solve,1,5120,0.0009765625,0.004523375,536.046875
scalar_linear_d1_alpha0.8_t5,Julia,solve,2,5120,0.0009765625,0.005072333,533.03125
scalar_linear_d1_alpha0.8_t5,Julia,solve,3,5120,0.0009765625,0.004971292,546.296875
scalar_linear_d1_alpha0.8_t5,Julia,solve,4,5120,0.0009765625,0.006325625,542.5
scalar_linear_d1_alpha0.8_t5,Julia,solve,5,5120,0.0009765625,0.004910209,529.890625
scalar_linear_d1_alpha0.8_t5,Julia,solve,1,10240,0.00048828125,0.011108375,554.1875
scalar_linear_d1_alpha0.8_t5,Julia,solve,2,10240,0.00048828125,0.011250583,554.203125
scalar_linear_d1_alpha0.8_t5,Julia,solve,3,10240,0.00048828125,0.011650875,555.875
scalar_linear_d1_alpha0.8_t5,Julia,solve,4,10240,0.00048828125,0.011678166,553.78125
scalar_linear_d1_alpha0.8_t5,Julia,solve,5,10240,0.00048828125,0.011200292,542.796875
scalar_linear_d1_alpha0.8_t5,Julia,solve,1,20480,0.000244140625,0.02670375,567.734375
